chapter,title,verse_num,text,topic,prob
1,INTRODUCTORY.,56,"Maitreya asks the son of Gina; men, gods, goblins, and Titans, the four classes of the congregation, are eagerly awaiting what answer Mañgusvara shall give in explanation.",0,0.9492206573486328
1,INTRODUCTORY.,57,"I remember a past period, inconceivable, illimited kalpas ago, when the highest of beings, the Gina of the name of Kandrasûryapradîpa, was in existence.",2,0.937488317
1,INTRODUCTORY.,58,"He preached the true law, he, the leader of creatures; he educated an infinite number of kotis of beings, and roused inconceivably many Bodhisattvas to acquiring supreme Buddha-knowledge.",0,0.954398513
1,INTRODUCTORY.,59,"And the eight sons born to him, the leader, when he was prince royal, no sooner saw that the great sage had embraced ascetic life, than they resigned worldly pleasures and became monks.",2,0.9523658156394958
1,INTRODUCTORY.,60,"And the Lord of the world proclaimed the law, and revealed to thousands of kotis of living beings the Sûtra, the development, which by name is called 'the excellent Exposition of Infinity.'",3,0.8033878207206726
1,INTRODUCTORY.,61,"Immediately after delivering his speech, the leader crossed his legs and entered upon the meditation of 'the excellent Exposition of the Infinite.' There on his seat of the law the eminent seer continued absorbed in meditation.",1,0.9564872980117798
1,INTRODUCTORY.,62,"And there fell a celestial rain of Mandâravas, while the drums (of heaven) resounded without being struck; the gods and elves in the sky paid honour to the highest of men.",3,0.9491105079650879
1,INTRODUCTORY.,63,"And simultaneously all the fields (of Buddha) began trembling. A wonder it was, a great prodigy. Then the chief emitted from between his brows one extremely beautiful ray,",1,0.7380205988883972
1,INTRODUCTORY.,64,"Which moving to the eastern quarter glittered, illuminating the world all over the extent of eighteen thousand fields. It manifested the vanishing and appearing of beings.",3,0.9459620714187622
1,INTRODUCTORY.,65,"Some of the fields then seemed jewelled, others showed the hue of lapis lazuli, all splendid, extremely beautiful, owing to the radiance of the ray from the leader.",3,0.9416409134864807
1,INTRODUCTORY.,66,"Gods and men, as well as Nâgas, goblins, Gandharvas, nymphs, Kinnaras, and those occupied with serving the Sugata became visible in the spheres and paid their devotion.",3,0.816948414
1,INTRODUCTORY.,67,"The Buddhas also, those self-born beings, appeared of their own accord, resembling golden columns; like unto a golden disk (within lapis lazuli), they revealed the law in the midst of the assembly.",1,0.9591458439826965
1,INTRODUCTORY.,68,"The disciples, indeed, are not to be counted: the disciples of Sugata are numberless. Yet the lustre of the ray renders them all visible in every field.",4,0.8333182334899902
1,INTRODUCTORY.,69,"Energetic, without breach or flaw in their course, similar to gems and jewels, the sons of the leaders of men are visible in the mountain caves where tbeyare dwelling.",3,0.9493035078048706
1,INTRODUCTORY.,70,"Numerous Bodhisattvas, like the sand of the Ganges, who are spending all their wealth in giving alms, who have the strength of patience, are devoted to contemplation and wise, become all of them visible by that ray.",3,0.9517903923988342
1,INTRODUCTORY.,71,"Immovable, unshaken, firm in patience, devoted to contemplation, and absorbed in meditation are seen the true sons of the Sugatas while they are striving for supreme enlightenment by dint of meditation.",2,0.9546242952346802
1,INTRODUCTORY.,72,"They preach the law in many spheres, and point to the true, quiet, spotless state they know. Such is the effect produced by the power of the Sugata.",0,0.5130683183670044
1,INTRODUCTORY.,73,And all the four classes of hearers on seeing the power of the mighty Kandrârkadipa were filled with joy and asked one another: How is this?,3,0.9180388450622559
1,INTRODUCTORY.,74,"And soon afterwards, as the Leader of the world, worshipped by men, gods, and goblins, rose from his meditation, he addressed his son Varaprabha, the wise Bodhisattva and preacher of the law:",2,0.9512993097305298
1,INTRODUCTORY.,75,"'Thou art wise, the eye and refuge of the world; thou art the trustworthy keeper of my law, and canst bear witness as to the treasure of laws which I am to lay bare to the weal of living beings.'",0,0.9545386433601379
1,INTRODUCTORY.,76,"Then, after rousing and stimulating, praising and lauding many Bodhisattvas, did the Gina proclaim the supreme laws during fully sixty intermediate kalpas.",2,0.9372545480728149
1,INTRODUCTORY.,77,"And whatever excellent supreme law was proclaimed by the Lord of the world while continuing sitting on the very same seat, was kept in memory by Varaprabha, the son of Gina, the preacher of the law.",2,0.9515111446380615
1,INTRODUCTORY.,78,"And after the Gina and Leader had manifested the supreme law and stimulated the numerous crowd, he spoke, that day, towards the world including the gods (as follows):",2,0.7509982585906982
1,INTRODUCTORY.,79,"'I have manifested the rule of the law; I have shown the nature of the law; now, O monks, it is the time of my Nirvâna; this very night, in the middle watch.",0,0.9371738433837891
1,INTRODUCTORY.,80,"'Be zealous and strong in persuasion; apply yourselves to my lessons; (for) the Ginas, the great seers, are but rarely met with in the lapse of myriads of kotis of Æons.'",0,0.6936701536178589
1,INTRODUCTORY.,81,The many sons of Buddha were struck with grief and filled with extreme sorrow when they heard the voice of the highest of men announcing that his Nirvâna was near at hand.,2,0.9481676816940308
1,INTRODUCTORY.,82,"To comfort so inconceivably many kotis of living beings the king of kings said: 'Be not afraid, O monks; after my Nirvâna there shall be another Buddha.",1,0.9373158812522888
1,INTRODUCTORY.,83,"'The wise Bodhisattva Srîgarbha, after finishing his course in faultless knowledge, shall reach highest, supreme enlightenment, and become a Gina under the name of Vimalâgranetra.'",2,0.9418060779571533
1,INTRODUCTORY.,84,"That very night, in the middle watch, he met complete extinction, like a lamp when the cause (of its burning) is exhausted. His relics were distributed, and of his Stûpas there was an infinite number of myriads of kotis.",0,0.9570801854133606
1,INTRODUCTORY.,85,"The monks and nuns at the time being, who strove after supreme, highest enlightenment, numerous as sand of the Ganges, applied themselves to the commandment of the Sugata.",2,0.7020033001899719
1,INTRODUCTORY.,86,"And the monk who then was the preacher of the law and the keeper of the law, Varaprabha, expounded for fully eighty intermediate kalpas the highest laws according to the commandment (of the Sugata).",2,0.9521359801292419
1,INTRODUCTORY.,87,"He had eight hundred pupils, who all of them were by him brought to full development. They saw many kotis of Buddhas, great sages, whom they worshipped.",3,0.9183992147445679
1,INTRODUCTORY.,88,"By following the regular course they became Buddhas in several spheres, and as they followed one another in immediate succession they successively foretold each other's future destiny to Buddhaship.",1,0.9420855641365051
1,INTRODUCTORY.,89,"The last of these Buddhas following one another was Dîpankara. He, the supreme god of gods, honoured by crowds of sages, educated thousands of kotis of living beings.",3,0.9454959630966187
1,INTRODUCTORY.,90,"Among the pupils of Varaprabha, the son of Gina, at the time of his teaching the law, was one slothful, covetous, greedy of gain and cleverness.",2,0.9375280737876892
1,INTRODUCTORY.,91,"He was also excessively desirous of glory, but very fickle, so that the lessons dictated to him and his own reading faded from his memory as soon as learnt.",3,0.9325019121170044
1,INTRODUCTORY.,92,"His name was Yasaskâma, by which he was known everywhere. By the accumulated merit of that good action, spotted as it was,",4,0.8987287878990173
1,INTRODUCTORY.,93,"He propitiated thousands of kotis of Buddhas, whom he rendered ample honour. He went through the regular course of duties and saw the present Buddha Sâkyasimha.",3,0.9493409395217896
1,INTRODUCTORY.,94,"He shall be the last to reach superior enlightenment and become a Lord known by the family name of Maitreya, who shall educate thousands of kotis of creatures.",0,0.932105541
1,INTRODUCTORY.,95,"He who then, under the rule of the extinct Sugata, was so slothful, was thyself, and it was I who then was the preacher of the law.",0,0.8974004983901978
1,INTRODUCTORY.,96,"As on seeing a foretoken of this kind I recognise a sign such as I have seen manifested of yore, therefore and on that account I know,",4,0.6363993287086487
1,INTRODUCTORY.,97,"That decidedly the chief of Ginas, the supreme king of the Sâkyas, the All-seeing, who knows the highest truth, is about to pronounce the excellent Satra which I have heard before.",2,0.9453849196434021
1,INTRODUCTORY.,98,"That very sign displayed at present is a proof of the skilfulness of the leaders; the Lion of the Sâkyas is to make an exhortation, to declare the fixed nature of the law.",1,0.9414012432098389
1,INTRODUCTORY.,99,"Be well prepared and well minded; join your hands: he who is affectionate and merciful to the world is going to speak, is going to pour the endless rain of the law and refresh those that are waiting for enlightenment.",0,0.9545491337776184
1,INTRODUCTORY.,100,"And if some should feel doubt, uncertainty, or misgiving in any respect, then the Wise One shall remove it for his children, the Bodhisattvas here striving after enlightenment.",0,0.5170631408691406
2,SKILFULNESS,1,Innumerable are the great heroes in the world that embraces gods and men; the totality of creatures is unable to completely know the leaders.,3,0.9415812492370605
2,SKILFULNESS,2,"None can know their powers and states of emancipation, their absence of hesitation and Buddha properties, such as they are.",2,0.9094813466072083
2,SKILFULNESS,3,"Of yore have I followed in presence of kotis of Buddhas the good course which is profound, subtle, difficult to understand, and most difficult to find.",3,0.9371041655540466
2,SKILFULNESS,4,"After pursuing that career during an inconceivable number of kotis of Æons, I have on the terrace of enlightenment discovered the fruit thereof.",1,0.9322260618209839
2,SKILFULNESS,5,"And therefore I recognise, like the other chiefs of the world, how it is, like what it is, and what are its characteristics.",0,0.8836884498596191
2,SKILFULNESS,6,It is impossible to explain it; it is unutterable; nor is there such a being in the world.,2,0.8369157314300537
2,SKILFULNESS,7,"To whom this law could be explained or who would be able to understand it when explained, with the exception of the Bodhisattvas, those who are firm in resolve.",3,0.785326362
2,SKILFULNESS,8,"As to the disciples of the Knower of the world, those who have done their duty and received praise from the Sugatas, who are freed from faults and have arrived at the last stage of bodily existence, the Gina-knowledge lies beyond their sphere.",0,0.9544543027877808
2,SKILFULNESS,9,"If this whole sphere were full of beings like Sârisuta, and if they were to investigate with combined efforts, they would be unable to comprehend the knowledge of the Sugata.",1,0.9324500560760498
2,SKILFULNESS,10,"Even if the ten points of space were full of sages like thee, ay, if they were full of such as the rest of my disciples,",1,0.8834463953971863
2,SKILFULNESS,11,"And if those beings combined were to investigate the knowledge of the Sugata, they would, all together, not be able to comprehend the Buddha-knowledge in its whole immensity.",1,0.9260023832321167
2,SKILFULNESS,12,"If the ten points of space were filled with Pratyekabuddhas, free from faults, gifted with acute faculties, and standing in the last stage of their existence, as numerous as reeds and bamboos in Ganges, with undivided attention and subtle wit, even then that (knowledge) would be beyond their ken.",1,0.9645909667015076
2,SKILFULNESS,13,"And if combined for an endless number of myriads of kotis of Æons, they were to investigate a part only of my superior laws, they would never find out its real meaning.",0,0.9317933320999146
2,SKILFULNESS,14,"If the ten points of space were full of Bodhisattvas who, after having don their duty under many kotis of Buddhas, investigated all things and preached many sermons, after entering a new vehicle [or rather a new career];",3,0.9520457983016968
2,SKILFULNESS,15,"If the whole world were full of them, as of dense reeds and bamboos, without any interstices, and if all combined wre to investiage the law which the Sugata has realised;",3,0.9323238730430603
2,SKILFULNESS,16,"If they were going on investigating for many kotis of Æons, as incalculable as the sand of the Ganges, with undivided attention and subtle wit, even then that knowledge would be beyond their understanding.",3,0.9416050314903259
2,SKILFULNESS,17,"If such Bodhisattvas as are unable to fall back, numerous as the sand of the Ganges, were to investigate it with undivided attention, it would prove to lie beyond their ken.",2,0.9365248084068298
2,SKILFULNESS,18,"Profound are the laws of the Buddhas, and subtle; all inscrutable and faultless. I myself know them as well as the Ginas do in the ten directions of the world.",2,0.9261338114738464
2,SKILFULNESS,19,"Thou, Sâriputra, be full of trust in what the Sugata declares. The Gina speaks no falsehood, the great Seer who has so long preached the highest truth.",2,0.9417805075645447
2,SKILFULNESS,20,"I address all disciples here, those who have set out to reach the enlightenment of Pratyekabuddhas, those who are roused to activity at my Nirvâna, and those who have been released from the series of evils.",1,0.9376047849655151
2,SKILFULNESS,21,"It is by my superior skilfulness that I explain the law at great length to the world at large. I deliver whosoever are attached to one point or another, and show the three vehicles.",1,0.9410118460655212
2,SKILFULNESS,22,"Now first does the Sun of men utter such a speech: 'I have acquired the powers, emancipations, and numberless meditations.'",2,0.5193008780479431
2,SKILFULNESS,23,"And thou mentionest the terrace of enlightenment without any one asking thee: thou mentionest the mystery, although no one asks thee.",3,0.8980094194412231
2,SKILFULNESS,24,Thou speakest unasked and laudest thine own course; thou mentionest thy having obtained knowledge and pronouncest profound words.,4,0.9370105862617493
2,SKILFULNESS,25,"To-day a question rises in my mind and of these self-controlled, faultless beings striving after Nirvâna: Why does the Gina speak in this manner?",3,0.6771985292434692
2,SKILFULNESS,26,"Those who aspire to the enlightenment of Pratyekabuddhas, the nuns and monks, gods, Nâgas, goblins, Gandharvas, and great serpents, are talking together, while looking up to the highest of men,",0,0.9484109878540039
2,SKILFULNESS,27,"And ponder in perplexity. Give an elucidation, great Sage, to all the disciples of Sugata here assembled.",2,0.9087234139442444
2,SKILFULNESS,28,"Myself have reached the perfection (of virtue), have been taught by the supreme Sage; still, O highest of men! even in my position I feel some doubt whether the course (of duty) shown to me shall receive its final sanction by Nirvâna.",3,0.7434459328651428
2,SKILFULNESS,29,"Let thy voice be heard, O thou whose voice resounds like an egregious kettle-drum! proclaim thy law such as it is. The legitimate sons of Gina here standing and gazing at the Gina, with joined hands;",3,0.9591022729873657
2,SKILFULNESS,30,"As well as the gods, Nâgas, goblins, Titans, numbering thousands of kotis, like sand of the of the Ganges; and those that aspire to superior enlightenment, here standing, fully eighty thousand in number;",0,0.9570262432098389
2,SKILFULNESS,31,"Further, the kings, rulers of provinces and paramount monarchs, who have flocked thither from thousands of kotis of countries, are now standing with joined hands, and respectful, thinking: How are we to fulfil the course of duty?",0,0.9569041728973389
2,SKILFULNESS,32,"Speak clearly, O most eminent of Ginas! in this assembly there are thousands of living beings trustful, affectionate, and respectful towards the Sugata; they will understand the law by there expounded.",3,0.948800266
2,SKILFULNESS,33,"Speak no more of it that I sould declare this law! This knowledge is too subtle, inscrutable, and there are too many unwise men who in their conceit and foolishness would scoff at the law revealed.",2,0.9458431601524353
2,SKILFULNESS,34,"Explain the law, O thou most high of men! I, thine eldest son, beseech thee. Here are thousands of kotis of beings who are to believe in the law by thee revealed.",4,0.6707128882408142
2,SKILFULNESS,35,"And those beings that in former births so long and constantly have by thee been brought to full maturity and now are all standing here with joined hands, they, too, are to believe in this law.",1,0.5060219764709473
2,SKILFULNESS,36,"Let the Sugata, seeing the twelve hundred, my equals, and those who are striving after superior enlightenment, speak to them and produce in them an extreme joy.",3,0.9319359660148621
2,SKILFULNESS,37,"No less than five thousand monks, nuns, and lay devotees of both sexes, full of unbelief and conceit,",4,0.9099963903427124
2,SKILFULNESS,38,"Remarking this slight, went, defective in training and foolish as they were, away in order to beware of damage.",2,0.9260855317115784
2,SKILFULNESS,39,"The Lord, who knew them to be the dregs of the congregation, exclaimed: They have no sufficient merit to hear this law.",4,0.9179710149765015
2,SKILFULNESS,40,"My congregation is now pure, freed from chaff; the trash is removed and the pith only remains.",0,0.9101698398590088
2,SKILFULNESS,41,"Hear from me, Sâriputra, how this law has been discovered by the highest man, and how the mighty Buddhas are preaching it with many hundred proofs of skilfulness.",2,0.8716741800308228
2,SKILFULNESS,42,"1 know the disposition and conduct, the various inclinations of kotis of living beings in this world; I know their various actions and the good they have done before.",3,0.931952715
2,SKILFULNESS,43,"Those living beings I initiate in this (law) by the aid of manifold interpretations and reasons; and by hundreds of arguments and illustrations have I, in one way or another, gladdened all creatures.",4,0.9453538656234741
2,SKILFULNESS,44,"I utter both Sûtras and stanzas; legends, Gâtakas, and prodigies, besides hundreds of introductions and curious parables.",3,0.9265830516815186
2,SKILFULNESS,45,"I show Nirvâna to the ignorant with low dispositions, who have followed no course of duty under many kotis of Buddhas, are bound to continued existence and wretched.",3,0.9412330985069275
2,SKILFULNESS,46,"The self-born one uses such means to manifest Buddha-knowledge, but he shall never say to them, Ye also are to become Buddhas.",0,0.9085463881492615
2,SKILFULNESS,47,"Why should not the mighty one, after having waited for the right time, speak, now that he perceives the right moment is come? This is the fit opportunity, met somehow, of commencing the exposition of what really is.",4,0.9488227963447571
2,SKILFULNESS,48,"Now the word of my commandment, as contained in nine divisions, has been published according to the varying degree of strength of creatures. Such is the device I have shown in order to introduce (creatures) to the knowledge of the giver of boons.",0,0.6531035900115967
2,SKILFULNESS,49,"And to those in the world who have always been pure, wise, good-minded, compassionate sonsof Buddha and done their duty under many kotis of Buddhas will I make known amplified Sûtras.",3,0.945169985
2,SKILFULNESS,50,For they are endowed with such gifts of mental disposition and such advantages of a blameless outward form that I can announce to them: in future ye shall become Buddhas benevolent and compassionate.,1,0.9418978691101074
2,SKILFULNESS,51,"Hearing which, all of them will be pervaded with delight (at the thought): We shall become Buddhas pre-eminent in the world. And I, perceiving their conduct, will again reveal amplified Sûtras.",3,0.9413650631904602
2,SKILFULNESS,52,"And those are the disciples of the Leader, who have listened to my word of command. One sinale stanza learnt or kept in memory suffices, no doubt of it, to lead all of them to enlightenment.",3,0.9454501271247864
2,SKILFULNESS,53,"There is, indeed, but one vehicle; there is no second, nor a third anywhere in the world, apart from the case of the Purushottamas using an expedient to show that there is a diversity of vehicles.",3,0.9190524816513062
2,SKILFULNESS,54,"The Chief of the world appears in the world to reveal the Buddha-knowledge. He has but one aim, indeed, no second; the Buddhas do not bring over (creatures) by an inferior vehicle.",3,0.9455559253692627
2,SKILFULNESS,55,"There where the self-born one has established himself, and where the object of knowledge is, of whatever form or kind; (where) the powers, the stages of meditation, the emancipations, the perfected faculties (are); there the beings also shall be established.",1,0.9488429427146912
2,SKILFULNESS,56,"1 should be guilty of envy, should I, after reaching the spotless eminent state of enlightenment, establish any one in the inferior vehicle. That would not beseem me.",3,0.9320424795150757
2,SKILFULNESS,57,"There is no envy whatever in me; no jealousy, no desire, nor passion. Therefore I am the Buddha, because the world follows my teaching'.",2,0.90970856
2,SKILFULNESS,58,"When, splendidly marked with (the thirty-two) characteristics, I am illuminating this whole world, and, worshipped by many hundreds of beings, I show the (unmistakable) stamp of the nature of the law;",3,0.9417362809181213
2,SKILFULNESS,59,"Then, Sâriputra, I think thus: How will all beings by the thirty-two characteristics mark the self-born Seer, who of his own accord sheds his lustre all over the world?",0,0.9415107369422913
2,SKILFULNESS,60,"And while I am thinking and pondering, when my wish has been fulfilled and my vow accomplished I no more reveal Buddha-knowledge",0,0.9178414344787598
2,SKILFULNESS,61,"If, O son of Sâri, I spoke to the creatures, 'Vivify in your minds the wish for enlightenment,' they would in their ignorance all go astray and never catch the meaning of my good words.",2,0.9453811049461365
2,SKILFULNESS,62,"And considering them to be such, and that they have not accomplished their course of duty in previous existences, (I see how) they are attached and devoted to sensual pleasures, infatuated by desire and blind with delusion.",3,0.8612005114555359
2,SKILFULNESS,63,"From lust they run into distress; they are tormented in the six states of existence and people the cemetery again and again; they are overwhelmed with misfortune, as they possess little virtue.",1,0.8166072964668274
2,SKILFULNESS,64,"They are continually entangled in the thickets of (sectarian) theories, such as, 'It is and it is not; it is thus and it is not thus.' In trying to get a decided opinion on what is found in the sixty-two (heretical) theories they come to embrace falsehood and continue in it.",0,0.8282572031021118
2,SKILFULNESS,65,"They are hard to correct, proud, hypocritical, crooked, malignant, ignorant, dull; hence they do not hear the good Buddha-call, not once in kotis of births.",1,0.9414321184158325
