Target,Source,Weight
suprem,reach,1609
mind,suprem,1198
suprem,perfect,2220
suprem,discipl,1469
vener,suprem,1185
sâriputra,suprem,1824
suprem,suprem,1230
suprem,enlighten,4031
suprem,law,6691
suprem,buddha,4379
suprem,good,2280
perfect,enlighten,3772
perfect,law,5908
perfect,buddha,3696
perfect,good,2723
time,enlighten,3747
lord,enlighten,13293
monk,enlighten,6677
arhat,enlighten,1361
thought,enlighten,1306
knowledg,enlighten,4118
like,enlighten,2087
great,enlighten,6562
duti,enlighten,1131
reach,enlighten,3310
exist,enlighten,1694
mind,enlighten,1982
possess,enlighten,1245
enlighten,discipl,2698
vener,enlighten,1985
sâriputra,enlighten,3823
enlighten,enlighten,3965
law,enlighten,12733
buddha,enlighten,7927
good,enlighten,3963
bodi,enlighten,1645
lord,stand,1870
law,stand,1797
buddha,stand,1218
wisdom,lord,1609
wisdom,law,1846
wheel,lord,2013
monk,wheel,1604
great,wheel,1000
wheel,law,1495
law,time,7615
lord,law,25182
stai,law,1452
mountain,law,1326
numer,law,1680
monk,law,10394
law,arhat,2849
free,law,1302
law,self,1630
emancip,law,1052
thought,law,2484
knowledg,law,7751
law,like,4684
great,law,12916
have,law,4857
duti,law,2010
reach,law,5937
exist,law,3705
mind,law,4098
possess,law,2649
law,transcend,1258
faculti,law,2044
emin,law,1139
law,discipl,5698
vener,law,3930
kâsyapa,law,2651
sâriputra,law,7845
master,law,1571
nun,law,1622
law,head,1178
law,law,14770
buddha,law,15685
plant,law,1217
law,root,1100
good,law,7943
bodi,law,4090
law,fulli,1265
feel,law,2079
abl,law,2683
thousand,good,5853
thousand,bodi,2309
abl,thousand,1283
thousand,tathâgata,13747
buddha,time,4365
lord,buddha,15906
numer,buddha,1156
monk,buddha,5711
buddha,arhat,1739
buddha,self,1233
thought,buddha,1667
knowledg,buddha,5215
buddha,like,2767
great,buddha,7793
have,buddha,2869
duti,buddha,1406
reach,buddha,3607
exist,buddha,2349
mind,buddha,2607
possess,buddha,1539
buddha,discipl,3810
vener,buddha,2989
sâriputra,buddha,6259
buddha,buddha,6014
buddha,good,4808
bodi,buddha,2419
feel,buddha,1092
abl,buddha,1583
tathâgata,buddha,13029
lord,root,1666
bodhisattva,root,1233
tathâgata,root,1190
good,time,2845
lord,good,11803
monk,good,2602
knowledg,good,2251
good,like,1557
great,good,4858
have,good,1933
reach,good,1639
exist,good,1432
mind,good,1316
possess,good,1342
good,discipl,1979
sâriputra,good,1145
bodhisattva,good,10581
good,good,4091
bodi,good,1958
tathâgata,good,9830
thousand,world,10501
buddha,world,10932
bodi,time,1283
bodi,lord,5094
monk,bodi,1503
great,bodi,2372
bodi,perfect,1278
bodhisattva,bodi,3532
tathâgata,bodi,4125
bodi,world,3179
mind,tathâgata,3272
mind,world,2825
lord,fulli,1662
tathâgata,fulli,1191
fulli,world,1014
feel,lord,2126
great,feel,1060
bodhisattva,feel,1341
tathâgata,feel,1720
feel,world,1492
abl,lord,3003
abl,monk,1116
abl,great,1551
abl,sâriputra,1031
abl,bodhisattva,1651
abl,enlighten,1321
abl,tathâgata,2371
abl,world,2197
abl,koti,1206
abl,be,1213
tathâgata,wisdom,1499
wisdom,world,1275
tathâgata,time,6925
tathâgata,lord,27515
tathâgata,stai,1463
mountain,tathâgata,1125
numer,tathâgata,1373
monk,tathâgata,10293
tathâgata,arhat,2241
tathâgata,self,1188
tathâgata,thought,1972
tathâgata,knowledg,6697
tathâgata,like,3819
tathâgata,great,11504
have,tathâgata,4254
duti,tathâgata,1785
tathâgata,reach,4908
tathâgata,exist,2986
tathâgata,perfect,6095
tathâgata,possess,2284
faculti,tathâgata,1335
tathâgata,discipl,4704
vener,tathâgata,2456
tathâgata,kâsyapa,1447
sâriputra,tathâgata,5861
master,tathâgata,1275
tathâgata,nun,1131
tathâgata,head,1140
eighti,tathâgata,1632
tathâgata,bodhisattva,16931
endow,tathâgata,1264
tathâgata,suprem,6042
tathâgata,enlighten,11640
tathâgata,stand,1595
tathâgata,wheel,1434
tathâgata,law,22201
tathâgata,tathâgata,12924
tathâgata,wise,1280
tathâgata,world,17967
tathâgata,myriad,6167
tathâgata,koti,11606
be,tathâgata,9077
tathâgata,mahâsattva,6498
mañgusrî,tathâgata,1988
tathâgata,princ,2721
tathâgata,royal,1734
wise,lord,1360
bodhisattva,wise,1421
wise,law,2067
wise,world,1076
have,world,3589
have,koti,2192
be,have,1870
have,mahâsattva,1208
reach,world,4316
reach,myriad,1374
koti,reach,3027
be,reach,2568
perfect,world,4658
perfect,myriad,1843
koti,perfect,3796
be,perfect,2677
mahâsattva,perfect,1571
thousand,myriad,4605
thousand,koti,9021
be,thousand,5760
thousand,mahâsattva,4607
mañgusrî,thousand,1147
thousand,princ,2006
thousand,royal,1229
time,world,5401
lord,world,21834
stai,world,1159
numer,world,1205
monk,world,8391
arhat,world,1933
self,world,1156
thought,world,1735
knowledg,world,5799
like,world,3423
great,world,9739
duti,world,1446
exist,world,2563
possess,world,2083
faculti,world,1336
discipl,world,3949
vener,world,2067
kâsyapa,world,1502
sâriputra,world,5750
master,world,1112
eighti,world,1156
bodhisattva,world,12593
endow,world,1050
suprem,world,4902
enlighten,world,9321
stand,world,1324
wheel,world,1353
law,world,18388
good,world,6993
world,world,7833
myriad,world,4667
koti,world,9163
be,world,7937
mahâsattva,world,4622
mañgusrî,world,1471
princ,world,2009
royal,world,1297
lord,save,1054
myriad,time,1665
lord,myriad,7727
monk,myriad,4322
knowledg,myriad,1695
great,myriad,3401
myriad,discipl,1203
bodhisattva,myriad,4555
suprem,myriad,1837
myriad,enlighten,3438
myriad,law,5232
buddha,myriad,3272
myriad,good,2406
myriad,myriad,1217
koti,myriad,4028
be,myriad,2577
mahâsattva,myriad,1846
koti,time,3497
koti,lord,13745
numer,koti,1065
monk,koti,7188
koti,arhat,1250
koti,thought,1193
koti,knowledg,3862
koti,like,1869
koti,great,6785
duti,koti,1107
koti,exist,1717
mind,koti,1924
koti,possess,1266
koti,discipl,2723
vener,koti,1800
sâriputra,koti,2976
koti,bodhisattva,8701
koti,suprem,3881
koti,enlighten,7196
koti,wheel,1038
koti,law,11534
koti,buddha,7876
koti,good,4527
koti,bodi,1691
koti,koti,4145
be,koti,5197
koti,mahâsattva,3157
koti,princ,1475
be,time,2912
be,lord,10789
be,monk,5770
be,arhat,1222
be,knowledg,3344
be,like,1904
be,great,5742
be,exist,1619
be,mind,1601
be,possess,1293
be,discipl,2404
be,vener,1377
be,kâsyapa,1000
be,sâriputra,3018
be,bodhisattva,5082
be,suprem,2865
be,enlighten,5362
be,law,10827
be,buddha,6197
be,good,3354
be,bodi,1756
be,be,2663
be,mahâsattva,1520
be,princ,1244
mahâsattva,bodhisattva,12729
mañgusrî,bodhisattva,2328
bodhisattva,princ,1989
royal,bodhisattva,1551
avalokitesvara,bodhisattva,3033
bhaishagyarâga,bodhisattva,1346
mahâsattva,time,1775
mahâsattva,lord,9548
monk,mahâsattva,1125
knowledg,mahâsattva,1255
mahâsattva,like,1089
great,mahâsattva,3410
mahâsattva,discipl,1123
mahâsattva,suprem,1335
mahâsattva,enlighten,2169
mahâsattva,law,5317
mahâsattva,buddha,2956
mahâsattva,good,5528
bodi,mahâsattva,1376
mahâsattva,mahâsattva,4069
mañgusrî,mahâsattva,1070
avalokitesvara,mahâsattva,2939
mañgusrî,lord,2188
mañgusrî,great,1034
mañgusrî,law,3376
mañgusrî,buddha,1191
lord,princ,4013
monk,princ,1780
great,princ,1587
enlighten,princ,1361
law,princ,2903
buddha,princ,1574
good,princ,1324
royal,lord,2395
royal,great,1039
royal,law,1870
royal,buddha,1088
avalokitesvara,lord,1480
avalokitesvara,good,2105
avalokitesvara,avalokitesvara,1946
bhaishagyarâga,lord,1053
bhaishagyarâga,good,1300
bhaishagyarâga,tathâgata,2197
bhaishagyarâga,bhaishagyarâga,1169
maitreya,bodhisattva,1152
men,bodhisattva,6445
men,mahâsattva,1808
sixteen,lord,1909
monk,sixteen,2002
sixteen,thousand,1081
sixteen,law,1155
sixteen,tathâgata,1338
sixteen,world,1123
sixteen,koti,1027
men,time,3002
men,lord,10711
men,monk,4388
men,arhat,1082
men,thought,1004
men,knowledg,2844
men,like,1638
men,great,5423
men,have,2035
men,reach,2127
men,exist,1495
men,mind,1515
men,perfect,2646
men,possess,1143
men,discipl,2109
men,vener,1557
sâriputra,men,2150
men,thousand,5822
men,suprem,2796
men,enlighten,5044
men,law,9498
men,buddha,5673
men,good,4888
men,bodi,1577
abl,men,1108
men,tathâgata,9380
men,world,7374
men,myriad,2530
men,koti,4985
be,men,4146
men,princ,1448
men,men,2889
thousand,chief,1317
thousand,god,4267
thousand,follow,3749
bodhisattva,chief,1442
bodhisattva,god,4096
bodhisattva,follow,4400
lord,chief,2298
great,chief,1147
chief,law,1899
buddha,chief,1291
tathâgata,chief,1671
chief,world,1486
koti,chief,1082
ruler,law,1310
celesti,lord,1303
monk,celesti,1091
point,thousand,1003
god,time,1862
lord,god,7223
monk,god,3786
knowledg,god,1906
god,like,1168
great,god,4121
have,god,1211
reach,god,1487
exist,god,1114
mind,god,1110
perfect,god,1992
god,discipl,1545
vener,god,1312
sâriputra,god,1474
suprem,god,1988
god,enlighten,3485
god,law,6982
buddha,god,4358
god,good,2309
bodi,god,1527
tathâgata,god,5864
god,world,4987
myriad,god,1754
koti,god,3528
be,god,3239
mahâsattva,god,1206
men,god,3031
god,god,1464
god,follow,1798
time,follow,1728
lord,follow,6818
monk,follow,3146
knowledg,follow,1774
great,follow,3412
have,follow,1133
reach,follow,1325
perfect,follow,1595
follow,discipl,1409
sâriputra,follow,1237
suprem,follow,1721
enlighten,follow,3085
law,follow,5904
buddha,follow,3620
good,follow,2205
tathâgata,follow,5289
follow,world,4283
myriad,follow,1619
koti,follow,3218
be,follow,2514
mahâsattva,follow,1533
men,follow,2493
point,lord,1822
point,law,1730
point,buddha,1111
point,tathâgata,1635
point,world,1293
thirti,lord,1241
thirti,law,1037
great,brahma,2554
brahma,god,1464
king,god,1285
brahma,follow,1153
king,follow,1030
thousand,brahma,3022
king,thousand,2625
brahma,lord,5164
monk,brahma,4757
knowledg,brahma,1281
brahma,reach,1134
brahma,perfect,1236
bodhisattva,brahma,1452
brahma,suprem,1209
brahma,enlighten,2532
brahma,law,3361
brahma,buddha,1716
tathâgata,brahma,3729
brahma,world,3193
brahma,myriad,1791
koti,brahma,2794
be,brahma,2280
men,brahma,1471
brahma,brahma,1171
lord,nâga,1077
nâga,law,1151
king,time,1649
king,lord,5843
king,monk,1925
king,knowledg,1003
king,great,2227
king,have,1009
king,perfect,1050
king,bodhisattva,3192
king,suprem,1075
king,enlighten,1872
king,law,5002
king,buddha,2314
king,good,2437
king,tathâgata,4238
king,world,3013
king,koti,1809
king,be,1799
king,mahâsattva,1325
king,mañgusrî,1033
king,princ,1512
king,men,2208
king,king,1494
thousand,call,1554
koti,call,1222
lord,divin,1491
monk,divin,1196
law,divin,1287
tathâgata,divin,1291
world,divin,1095
be,call,1090
call,lord,3257
call,great,1638
call,bodhisattva,2501
call,enlighten,1271
call,law,3118
call,buddha,1666
call,good,1087
call,tathâgata,2425
call,world,2082
call,mahâsattva,1048
men,call,1191
thousand,demon,1116
demon,lord,1933
monk,demon,1107
great,demon,1104
bodhisattva,demon,1308
demon,law,1672
tathâgata,demon,1541
demon,world,1257
son,follow,1283
thousand,son,2906
thousand,honour,1642
myriad,son,1149
koti,son,2522
koti,honour,1381
king,son,1078
king,dharmaparyâya,1301
son,time,2038
lord,son,6785
monk,son,1753
knowledg,son,1673
son,like,1027
great,son,3168
have,son,1175
reach,son,1146
perfect,son,1406
son,discipl,1030
vener,son,1168
sâriputra,son,1443
bodhisattva,son,3541
suprem,son,1619
son,enlighten,2877
law,son,4826
buddha,son,3426
good,son,1964
tathâgata,son,4165
son,world,3621
be,son,1920
men,son,2352
god,son,1416
son,son,1529
expound,time,1075
dharmaparyâya,time,1649
surround,lord,1022
lord,honour,2750
worship,lord,2448
lord,class,1879
lord,expound,3384
dharmaparyâya,lord,6081
lord,instruct,1163
lord,proper,1289
monk,honour,1158
great,honour,1464
bodhisattva,honour,1992
enlighten,honour,1296
law,honour,2303
buddha,honour,1602
good,honour,1121
tathâgata,honour,2260
honour,world,1687
men,honour,1052
worship,great,1365
worship,thousand,1879
worship,bodhisattva,2394
worship,enlighten,1257
worship,law,2204
worship,buddha,1828
worship,good,1320
worship,tathâgata,2248
worship,world,1578
worship,koti,1490
worship,mahâsattva,1089
worship,dharmaparyâya,1018
great,class,1040
thousand,class,1188
bodhisattva,class,1370
law,class,1929
buddha,class,1191
tathâgata,class,1751
world,class,1172
monk,expound,1548
knowledg,expound,1057
great,expound,1610
sâriputra,expound,1290
thousand,expound,1777
bodhisattva,expound,1969
expound,enlighten,1728
law,expound,3795
buddha,expound,2061
good,expound,1080
tathâgata,expound,3171
expound,world,2535
koti,expound,1644
be,expound,1477
men,expound,1232
dharmaparyâya,monk,1868
dharmaparyâya,great,2764
dharmaparyâya,perfect,1845
dharmaparyâya,discipl,1045
dharmaparyâya,thousand,3600
dharmaparyâya,bodhisattva,6308
dharmaparyâya,suprem,1449
dharmaparyâya,enlighten,2347
dharmaparyâya,law,5144
dharmaparyâya,buddha,2463
dharmaparyâya,good,3640
dharmaparyâya,bodi,1268
dharmaparyâya,tathâgata,6067
dharmaparyâya,world,3433
dharmaparyâya,myriad,1411
dharmaparyâya,koti,2831
dharmaparyâya,be,1673
dharmaparyâya,mahâsattva,3175
dharmaparyâya,bhaishagyarâga,1718
dharmaparyâya,men,2013
dharmaparyâya,god,1301
dharmaparyâya,follow,1208
dharmaparyâya,dharmaparyâya,2106
seat,great,1390
great,medit,1860
law,exposit,1045
law,develop,1200
seat,bodhisattva,1702
bodhisattva,enter,1123
bodhisattva,medit,2655
law,proper,1752
tathâgata,proper,1203
seat,buddha,1278
buddha,medit,2142
seat,lord,3159
seat,monk,1426
seat,thousand,1622
seat,enlighten,1195
seat,law,2279
seat,tathâgata,2315
seat,world,1717
seat,koti,1275
be,seat,1004
law,enter,1657
law,medit,3454
rain,law,1481
lord,enter,1605
tathâgata,enter,1373
lord,medit,3821
monk,medit,1323
knowledg,medit,1016
thousand,medit,2228
enlighten,medit,1632
good,medit,1627
tathâgata,medit,3013
medit,world,2349
koti,medit,1776
be,medit,1394
mahâsattva,medit,1233
men,medit,1400
rain,lord,1387
flower,lord,3126
cover,lord,1576
lord,field,5331
great,flower,1743
great,field,2746
rain,tathâgata,1166
rain,world,1005
monk,flower,1903
thousand,flower,2066
bodhisattva,flower,1728
flower,enlighten,1464
flower,law,2465
buddha,flower,1726
flower,good,1022
tathâgata,flower,2627
flower,world,2058
koti,flower,1736
be,flower,1307
men,flower,1090
god,flower,1057
great,end,1001
assembl,great,1244
great,sit,1053
cover,law,1401
tathâgata,cover,1176
cover,world,1167
wai,lord,1682
lord,end,1944
assembl,lord,2486
sit,lord,2225
congreg,lord,1138
lord,femal,1078
buddha,field,3531
buddha,end,1057
assembl,buddha,1701
time,field,1175
monk,field,1740
perfect,field,1188
field,discipl,1148
vener,field,1073
thousand,field,3203
bodhisattva,field,3248
suprem,field,1427
enlighten,field,2030
law,field,4501
good,field,1430
tathâgata,field,3695
field,world,2962
myriad,field,1023
koti,field,2343
be,field,1690
men,field,1816
god,field,1544
field,follow,1166
son,field,1083
field,field,1031
wai,law,1748
wai,tathâgata,1439
wai,world,1216
bodhisattva,end,1334
law,end,2085
tathâgata,end,1450
world,end,1287
assembl,thousand,1420
assembl,bodhisattva,1821
assembl,enlighten,1100
assembl,law,2507
assembl,tathâgata,2109
assembl,world,1595
assembl,koti,1088
thousand,sit,1009
bodhisattva,sit,1084
sit,law,1607
tathâgata,sit,1495
sit,world,1204
congreg,law,1172
congreg,tathâgata,1033
bodhisattva,male,1076
male,law,1269
bodhisattva,femal,1408
law,femal,1622
tathâgata,femal,1127
lord,lai,1055
bodhisattva,lai,1122
law,lai,1484
tathâgata,lai,1091
devote,law,1205
lord,goblin,1709
bodhisattva,goblin,1509
law,goblin,1586
buddha,goblin,1079
tathâgata,goblin,1243
world,goblin,1135
human,lord,1012
moment,lord,2135
rai,lord,1017
lord,quarter,2135
appear,lord,3972
thousand,moment,1124
bodhisattva,moment,1028
moment,law,1786
moment,buddha,1110
tathâgata,moment,1700
moment,world,1307
rai,law,1243
lord,state,1714
thousand,quarter,1200
appear,thousand,2260
appear,buddha,2456
buddha,state,1042
monk,quarter,1435
great,quarter,1037
law,quarter,1594
tathâgata,quarter,1616
quarter,world,1299
buddha,live,2589
appear,time,1071
appear,monk,1757
appear,knowledg,1184
appear,great,1952
sâriputra,appear,1156
appear,bodhisattva,2375
appear,suprem,1005
appear,enlighten,1951
appear,law,3899
appear,good,1260
appear,tathâgata,3565
appear,world,2793
appear,koti,1884
be,appear,1589
appear,men,1505
appear,god,1120
great,live,2248
preach,great,2976
preach,exist,1031
be,live,1935
be,preach,2801
be,heard,1104
bodhisattva,state,1044
law,state,2135
tathâgata,state,1546
state,world,1344
visibl,law,1016
lord,likewis,1049
law,likewis,1066
lord,live,4330
preach,lord,6560
preach,buddha,3838
heard,buddha,1848
time,live,1260
monk,live,2003
knowledg,live,1389
reach,live,1039
perfect,live,1049
sâriputra,live,1382
thousand,live,2329
bodhisattva,live,2401
suprem,live,1168
enlighten,live,2152
law,live,4304
good,live,1446
tathâgata,live,3507
live,world,3064
koti,live,2122
men,live,1662
god,live,1233
preach,live,1127
preach,field,1050
preach,law,7590
heard,law,2785
obtain,law,1451
path,law,1091
preach,time,2069
monk,preach,2310
knowledg,preach,1963
preach,like,1047
have,preach,1270
preach,reach,1328
mind,preach,1048
preach,perfect,1571
preach,discipl,1422
sâriputra,preach,2113
thousand,preach,2911
bodhisattva,preach,4279
preach,suprem,1573
preach,enlighten,2971
preach,good,2390
bodi,preach,1327
tathâgata,preach,5851
preach,world,4913
preach,myriad,1167
koti,preach,2661
mahâsattva,preach,1752
mañgusrî,preach,1153
men,preach,2354
preach,god,1821
preach,follow,1466
king,preach,1356
preach,son,1153
preach,expound,1071
dharmaparyâya,preach,1393
preach,preach,1340
great,heard,1399
sâriputra,heard,1250
thousand,heard,1425
bodhisattva,heard,1612
heard,enlighten,1423
tathâgata,heard,2301
heard,world,1933
koti,heard,1323
monk,cours,1895
obtain,lord,1877
obtain,thousand,1054
obtain,bodhisattva,1282
obtain,tathâgata,1441
obtain,world,1059
cours,bodhisattva,2214
cours,buddha,2482
nirvâna,buddha,2340
nirvâna,bodhisattva,1357
bodhisattva,stûpa,1954
bodhisattva,jewel,2885
cours,time,1175
cours,lord,3991
cours,knowledg,1287
cours,great,1950
sâriputra,cours,1286
cours,thousand,2109
cours,suprem,1136
cours,enlighten,1981
cours,law,3676
cours,good,1161
cours,tathâgata,3061
cours,world,2549
cours,koti,1914
be,cours,1563
cours,men,1418
law,idea,1042
nirvâna,lord,3661
lord,stûpa,3375
jewel,lord,4239
lord,relic,1324
lord,extinct,4586
lord,rose,1483
buddha,stûpa,2137
jewel,buddha,2269
buddha,extinct,2095
nirvâna,reach,1135
final,law,1124
tathâgata,final,1028
nirvâna,time,1128
nirvâna,monk,1848
nirvâna,knowledg,1444
nirvâna,great,2120
nirvâna,sâriputra,1550
nirvâna,thousand,1743
nirvâna,suprem,1072
nirvâna,enlighten,2061
nirvâna,law,4151
nirvâna,tathâgata,3134
nirvâna,world,2954
nirvâna,koti,1709
nirvâna,be,1854
nirvâna,men,1548
nirvâna,god,1059
nirvâna,son,1005
great,stûpa,1420
thousand,stûpa,2015
enlighten,stûpa,1350
law,stûpa,2975
good,stûpa,1001
tathâgata,stûpa,3136
world,stûpa,2195
koti,stûpa,1452
be,stûpa,1021
jewel,time,1155
monk,jewel,1371
great,jewel,2161
perfect,jewel,1036
thousand,jewel,2185
suprem,jewel,1028
jewel,enlighten,1630
jewel,law,3709
jewel,good,1321
tathâgata,jewel,3415
jewel,world,2730
koti,jewel,1770
be,jewel,1440
mahâsattva,jewel,1022
men,jewel,1204
god,jewel,1013
dharmaparyâya,jewel,1085
preach,jewel,1033
bodhisattva,relic,1226
law,relic,1157
tathâgata,relic,1273
time,extinct,1168
monk,extinct,1375
great,extinct,1852
perfect,extinct,1147
thousand,extinct,2421
bodhisattva,extinct,3381
suprem,extinct,1083
enlighten,extinct,1850
law,extinct,3609
good,extinct,1801
tathâgata,extinct,4218
world,extinct,2996
myriad,extinct,1070
koti,extinct,2057
be,extinct,1313
mahâsattva,extinct,1331
men,extinct,1525
dharmaparyâya,extinct,1375
preach,extinct,1015
buddha,wonder,1231
buddha,displai,1004
caus,buddha,1243
produc,buddha,1142
bodhisattva,wonder,1015
bodhisattva,displai,1134
produc,bodhisattva,1891
bodhisattva,inconceiv,1007
power,bodhisattva,2790
power,mahâsattva,1085
great,caus,1057
produc,great,1350
power,great,2194
let,great,1915
lord,wonder,1766
law,wonder,1599
tathâgata,wonder,1324
wonder,world,1105
tathâgata,displai,1415
tathâgata,caus,1843
tathâgata,reason,1045
tathâgata,produc,2107
tathâgata,inconceiv,1043
tathâgata,power,3236
let,tathâgata,3677
tathâgata,matter,1402
lord,displai,1575
law,displai,1626
displai,world,1051
lord,caus,2049
monk,caus,1153
thousand,caus,1214
caus,enlighten,1183
caus,law,2076
caus,world,1511
koti,caus,1098
lord,reason,1124
reason,law,1323
produc,lord,2621
lord,inconceiv,1388
power,lord,4486
let,lord,4223
lord,matter,1515
explain,lord,1199
monk,produc,1068
thousand,produc,1493
produc,enlighten,1098
produc,law,2238
produc,good,1247
produc,world,1667
koti,produc,1214
be,produc,1015
inconceiv,law,1160
power,time,1033
monk,power,1794
power,knowledg,1132
power,thousand,2126
power,suprem,1019
power,enlighten,1695
power,law,3603
power,buddha,2249
power,good,1537
power,world,2876
power,koti,1756
be,power,1650
men,power,1534
power,god,1118
lord,gina,4837
let,time,1095
monk,let,1999
let,knowledg,1129
let,perfect,1200
let,thousand,2556
let,bodhisattva,2179
let,suprem,1080
let,enlighten,2140
let,law,3449
let,buddha,2264
let,good,1590
let,world,2840
let,myriad,1069
let,koti,2316
be,let,1583
men,let,1398
dharmaparyâya,let,1031
law,matter,1671
buddha,matter,1101
matter,world,1165
explain,law,1570
explain,tathâgata,1231
time,gina,1405
monk,gina,2670
knowledg,gina,1738
great,gina,2584
reach,gina,1291
perfect,gina,1252
discipl,gina,1186
vener,gina,1096
sâriputra,gina,1795
thousand,gina,3033
bodhisattva,gina,2240
suprem,gina,1514
enlighten,gina,2927
law,gina,5075
buddha,gina,3581
good,gina,1179
tathâgata,gina,3874
world,gina,3389
myriad,gina,1252
koti,gina,2769
be,gina,2168
men,gina,1938
god,gina,1590
follow,gina,1229
son,gina,1333
preach,gina,1158
sign,lord,1467
sign,law,1336
sign,tathâgata,1148
monk,see,1205
great,see,1564
men,see,1348
be,see,1358
lord,see,2465
thousand,see,1237
bodhisattva,see,1856
enlighten,see,1370
law,see,3427
buddha,see,1332
good,see,1240
tathâgata,see,2585
world,see,2227
koti,see,1228
preach,see,1032
magnific,lord,1083
look,lord,1094
beauti,lord,1019
lord,direct,3387
address,lord,3273
look,law,1047
thousand,direct,1644
thousand,address,1654
stanza,thousand,2677
buddha,direct,1897
address,buddha,1412
stanza,buddha,2290
law,extrem,1139
monk,direct,1164
great,direct,1423
sâriputra,direct,1152
bodhisattva,direct,1673
direct,enlighten,1539
law,direct,2926
tathâgata,direct,2832
direct,world,2386
koti,direct,1428
be,direct,1183
tathâgata,address,2501
stanza,tathâgata,3964
singl,tathâgata,1623
address,bodhisattva,1918
stanza,bodhisattva,2568
singl,bodhisattva,1147
monk,address,1488
great,address,1357
address,enlighten,1381
address,law,2374
address,good,1010
address,world,1881
koti,address,1412
men,address,1092
stanza,follow,1166
stanza,time,1144
stanza,lord,4829
stanza,monk,2867
stanza,knowledg,1304
stanza,great,2364
stanza,perfect,1263
stanza,discipl,1003
stanza,suprem,1194
stanza,enlighten,2277
stanza,law,3812
stanza,good,1591
stanza,world,3131
stanza,myriad,1287
stanza,koti,2428
